Quarters,Dates,Price to Earnings
Q3 2009,27/6/2009,16.22
Q4 2009,26/9/2009,20.11
Q1 2010,26/12/2009,20.41
Q2 2010,27/3/2010,19.6
Q3 2010,26/6/2010,20.08
Q4 2010,25/9/2010,19.3
Q1 2011,25/12/2010,18.07
Q2 2011,26/3/2011,16.76
Q3 2011,25/6/2011,12.92
Q4 2011,24/9/2011,14.61
Q1 2012,31/12/2011,11.54
Q2 2012,31/3/2012,14.62
Q3 2012,30/6/2012,13.73
Q4 2012,29/9/2012,15.11
Q1 2013,29/12/2012,11.56
Q2 2013,30/3/2013,10.57
Q3 2013,29/6/2013,9.9
Q4 2013,28/9/2013,12.18
Q1 2014,28/12/2013,13.89
Q2 2014,29/3/2014,12.81
Q3 2014,28/6/2014,14.82
Q4 2014,27/9/2014,15.61
Q1 2015,27/12/2014,15.33
Q2 2015,28/3/2015,15.2
Q3 2015,27/6/2015,14.61
Q4 2015,26/9/2015,12.45
Q1 2016,26/12/2015,11.52
Q2 2016,26/3/2016,11.81
Q3 2016,25/6/2016,10.97
Q4 2016,24/9/2016,13.72
Q1 2017,31/12/2016,13.86
Q2 2017,1/4/2017,16.8
